Time [],C1.V [],L1.I []
0,12.00000164,3.6
1.00E-07,12.00545118,3.599989098
6.00E-07,12.03256822,3.599663415
1.60E-06,12.08652995,3.598472434
2.60E-06,12.13992516,3.596207883
3.60E-06,12.19271067,3.592881524
4.60E-06,12.24484422,3.588505976
4.90E-06,12.26035187,3.586990389
5.00E-06,12.26550707,3.586464529
5.10E-06,12.27065516,3.585928367
5.60E-06,12.29619442,3.582966422
6.60E-06,12.34689633,3.576535515
7.60E-06,12.39682563,3.569098295
8.60E-06,12.44594415,3.560670597
9.60E-06,12.49421479,3.551269008
9.90E-06,12.50852601,3.548260788
1.00E-05,12.51327861,3.547238981
1.01E-05,12.51802222,3.54620768
1.06E-05,12.54148802,3.5407928
1.16E-05,12.58795173,3.529498402
1.26E-05,12.63346309,3.517284254
1.36E-05,12.67798953,3.504169728
1.46E-05,12.72149968,3.490174836
1.49E-05,12.73435066,3.485807288
1.50E-05,12.73861328,3.484334321
1.51E-05,12.74286531,3.482852842
1.56E-05,12.76383005,3.475214542
1.66E-05,12.80521481,3.459524093
1.76E-05,12.8454966,3.443016979
1.86E-05,12.88464895,3.425715524
1.96E-05,12.92264666,3.407642568
1.99E-05,12.93381771,3.402073178
2.00E-05,12.93751774,3.400201839
2.01E-05,12.94120588,3.398323115
2.06E-05,12.95931648,3.38872995
2.16E-05,12.99493166,3.369187469
2.26E-05,13.02932441,3.348944908
2.36E-05,13.06247469,3.328026917
2.46E-05,13.09436373,3.306458533
2.49E-05,13.10368222,3.2998644
2.50E-05,13.10676275,3.29765395
2.51E-05,13.10983042,3.295437357
2.56E-05,13.12481284,3.284189229
2.66E-05,13.1541265,3.261399835
2.76E-05,13.18213072,3.238037263
2.86E-05,13.20881201,3.214127836
2.96E-05,13.23415819,3.189698134
2.99E-05,13.24150026,3.182271163
3.00E-05,13.24392066,3.179785738
3.01E-05,13.24632755,3.177295489
3.06E-05,13.25798931,3.164715596
3.16E-05,13.28063296,3.139329373
3.26E-05,13.30191305,3.113503913
3.36E-05,13.32182267,3.087266556
3.46E-05,13.34035621,3.060644767
3.49E-05,13.34564732,3.052586762
3.50E-05,13.34738341,3.049893726
3.51E-05,13.34910566,3.047197237
3.56E-05,13.35733649,3.033623872
3.66E-05,13.37310592,3.006319448
3.76E-05,13.38749032,2.978713485
3.86E-05,13.40048922,2.95083369
3.96E-05,13.41210337,2.922707764
3.99E-05,13.4153178,2.914225506
4.00E-05,13.41636163,2.911393821
4.01E-05,13.41739163,2.908560068
4.06E-05,13.42216222,2.894338445
4.16E-05,13.43101472,2.865806676
4.26E-05,13.43849237,2.837111605
4.36E-05,13.44460087,2.808280673
4.46E-05,13.44934705,2.779341193
4.49E-05,13.45050623,2.770641639
4.50E-05,13.45086556,2.767740262
4.51E-05,13.45121139,2.764838185
4.56E-05,13.45257044,2.75031248
4.66E-05,13.45461852,2.721240591
4.72E-05,13.45519035,2.704528042
4.82E-05,13.45514231,2.675424716
4.92E-05,13.45377813,2.646335511
4.99E-05,13.4519712,2.625250021
5.00E-05,13.45166862,2.622346363
5.01E-05,13.45135313,2.619443341
5.06E-05,13.44942278,2.604949113
5.16E-05,13.44492472,2.576005638
5.26E-05,13.43916003,2.547164791
5.36E-05,13.43214538,2.518451737
5.46E-05,13.42389843,2.489891299
5.49E-05,13.42118637,2.48135605
5.50E-05,13.42025814,2.4785146
5.51E-05,13.41931786,2.475675024
5.56E-05,13.41428773,2.461532146
5.66E-05,13.40363547,2.433352914
5.76E-05,13.39180961,2.405398463
5.86E-05,13.37883148,2.377692052
5.96E-05,13.36472325,2.350256505
5.99E-05,13.36027329,2.342081521
6.00E-05,13.35876791,2.339362474
6.01E-05,13.35725156,2.336646455
6.06E-05,13.34937152,2.32315274
6.16E-05,13.33307588,2.296328266
6.26E-05,13.31572154,2.269840291
6.36E-05,13.29733379,2.243709738
6.46E-05,13.27793861,2.217957014
6.49E-05,13.27192697,2.210307423
6.50E-05,13.26990357,2.207765587
6.51E-05,13.26787047,2.205227813
6.56E-05,13.2574424,2.192653389
6.66E-05,13.23611648,2.1677178
6.76E-05,13.21386511,2.143217984
6.86E-05,13.19071678,2.119172165
6.96E-05,13.16670057,2.095597992
6.99E-05,13.1593302,2.088619904
7.00E-05,13.15685676,2.086303712
7.01E-05,13.15437505,2.083992481
7.06E-05,13.14174383,2.072575042
7.16E-05,13.11608488,2.049996755
7.26E-05,13.08964828,2.027939424
7.36E-05,13.06246498,2.006418291
7.46E-05,13.03456634,1.985447978
7.49E-05,13.02606127,1.979266099
7.50E-05,13.02321269,1.977216821
7.51E-05,13.02035741,1.975173251
7.56E-05,13.00590137,1.965114237
7.66E-05,12.97667155,1.945288508
7.76E-05,12.94682254,1.926053567
7.86E-05,12.91638692,1.907421473
7.96E-05,12.88539757,1.889403628
7.99E-05,12.87599696,1.884119448
8.00E-05,12.87285314,1.882370594
8.01E-05,12.86970425,1.880628037
8.06E-05,12.85382526,1.872089784
8.16E-05,12.82183189,1.855333213
8.26E-05,12.78938441,1.83922105
8.36E-05,12.7565163,1.823762042
8.46E-05,12.72326109,1.808964269
8.49E-05,12.71321331,1.804654848
8.50E-05,12.7098571,1.803231775
8.51E-05,12.7064975,1.80181542
8.56E-05,12.68961107,1.79491931
8.66E-05,12.65568667,1.781466332
8.76E-05,12.62147595,1.768694706
8.86E-05,12.58701247,1.756609822
8.96E-05,12.55232969,1.7452164
8.99E-05,12.54188634,1.741933754
9.00E-05,12.53840162,1.740853464
9.01E-05,12.53491519,1.739780148
9.06E-05,12.51744059,1.734605742
9.16E-05,12.48242332,1.724607102
9.26E-05,12.44728639,1.715310005
9.36E-05,12.41206268,1.706716514
9.46E-05,12.37678484,1.698828039
9.49E-05,12.36619506,1.696599101
9.50E-05,12.36266482,1.69587024
9.51E-05,12.3591345,1.69514844
9.56E-05,12.34148533,1.691733587
9.66E-05,12.30620018,1.685256732
9.76E-05,12.27095723,1.679485158
9.86E-05,12.235788,1.674417705
9.96E-05,12.20072364,1.670052589
9.99E-05,12.1902287,1.668879733
1.00E-04,12.18673322,1.66850277
0.0001001,12.18323922,1.668132798
0.0001006,12.16581449,1.666474653
0.0001016,12.13105555,1.663505953
0.0001026,12.09649252,1.661230472
0.0001036,12.06215491,1.659643998
0.0001046,12.02807173,1.658741731
0.0001049,12.01790004,1.658603816
0.000105,12.01451525,1.658571401
0.0001051,12.0111334,1.658545752
0.0001056,11.99430933,1.658602659
0.0001066,11.96082359,1.65905133
0.0001076,11.92767626,1.660166331
0.0001086,11.89489428,1.661940626
0.0001096,11.862504,1.664366643
0.0001099,11.85286659,1.665220531
0.00011,11.84966257,1.665518002
0.0001101,11.84646283,1.665821877
0.0001106,11.83058553,1.667516021
0.0001116,11.79905842,1.671219582
0.0001126,11.76799835,1.675549014
0.0001136,11.73742922,1.680494738
0.0001146,11.70737424,1.686046704
0.0001149,11.6984609,1.687829197
0.000115,11.6955006,1.688435237
0.0001151,11.69254577,1.689047191
0.0001156,11.67792492,1.692267941
0.0001166,11.64896784,1.698999014
0.0001176,11.62059036,1.706303432
0.0001186,11.59281291,1.714169399
0.0001196,11.56565519,1.722584718
0.0001199,11.55763117,1.725214857
0.00012,11.55496934,1.726102258
0.0001201,11.55231398,1.726994975
0.0001206,11.5392176,1.731602799
0.0001216,11.51335771,1.741077046
0.0001226,11.48817209,1.751061748
0.0001236,11.46367743,1.761543253
0.0001246,11.43988965,1.772507582
0.0001249,11.43289311,1.775889232
0.000125,11.43057542,1.777025765
0.0001251,11.42826502,1.778166925
0.0001256,11.41691536,1.783997771
0.0001266,11.39458763,1.795882741
0.0001276,11.37300968,1.808206768
0.0001286,11.35219424,1.820954729
0.0001296,11.33215325,1.834111254
0.0001299,11.32629342,1.838135912
0.00013,11.3243559,1.839485265
0.0001301,11.32242628,1.840838483
0.0001306,11.31299694,1.847708513
0.0001316,11.29453863,1.861633158
0.0001326,11.27688562,1.875918915
0.0001336,11.26004657,1.890549593
0.0001346,11.24402937,1.905508834
0.0001349,11.23938541,1.910058587
0.000135,11.23785402,1.91158135
0.0001351,11.23633096,1.913107165
0.0001356,11.22894524,1.920817713
0.0001366,11.2145928,1.936382332
0.0001376,11.20108083,1.952225596
0.0001386,11.18841395,1.968330648
0.0001396,11.17659597,1.984680549
0.0001399,11.17321654,1.989631108
0.00014,11.17210711,1.991285788
0.0001401,11.17100621,1.992942675
0.0001406,11.16573662,2.001285308
0.0001416,11.15562491,2.018071693
0.0001426,11.14636866,2.035051757
0.0001436,11.13796849,2.052208386
0.0001446,11.13042427,2.069524458
0.0001449,11.12832783,2.074748199
0.000145,11.12764612,2.076492228
0.0001451,11.12697295,2.078237609
0.0001456,11.12384183,2.086999191
0.0001466,11.1180057,2.104580715
0.0001476,11.11302038,2.122270455
0.0001486,11.10888268,2.140051424
0.0001496,11.10558868,2.15790671
0.0001499,11.10476444,2.163275647
0.00015,11.10450646,2.16506638
0.0001501,11.10425685,2.166857617
0.0001506,11.10323816,2.175825235
0.0001516,11.10161614,2.193776692
0.0001526,11.10082163,2.211752314
0.0001536,11.10084785,2.22973562
0.0001546,11.10168737,2.247710267
0.0001549,11.10209682,2.253098911
0.000155,11.10224938,2.254894568
0.0001551,11.10240995,2.256689909
0.0001556,11.10343198,2.265655589
0.0001566,11.10587192,2.28356255
0.0001576,11.10909876,2.301412844
0.0001586,11.11310248,2.319190831
0.0001596,11.11787241,2.336881082
0.0001599,11.1194514,2.342169107
0.00016,11.11999279,2.343929667
0.0001601,11.12054168,2.345689132
0.0001606,11.12349068,2.354454225
0.0001616,11.12975719,2.371921747
0.0001626,11.13675437,2.389256631
0.0001636,11.14446929,2.406444395
0.0001646,11.15288846,2.423470817
0.0001649,11.15554979,2.428545499
0.000165,11.15645065,2.430233502
0.0001651,11.15735836,2.431919693
0.0001656,11.16208296,2.440298863
0.0001666,11.17186633,2.45695937
0.0001676,11.18231046,2.473417602
0.0001686,11.19339991,2.489660499
0.0001696,11.20511883,2.505675311
0.0001699,11.20875519,2.510433686
0.00017,11.20997952,2.512014954
0.0001701,11.2112099,2.513593765
